step,total_steps,loss,reward_avg,avg_response_len
1,50,-0.000000,0.000000,168.000000
2,50,-35.705196,0.500000,259.500000
3,50,4.884545,0.500000,75.000000
4,50,-0.000000,0.000000,6.000000
5,50,-0.000000,0.000000,7.000000
6,50,-0.000000,0.000000,15.500000
7,50,-0.000000,0.000000,19.500000
8,50,3.129716,0.500000,115.000000
9,50,-0.000000,0.000000,6.500000
10,50,-0.000000,0.000000,11.000000
11,50,4.188266,0.500000,109.500000
12,50,-0.000000,0.000000,184.500000
13,50,-0.000000,0.000000,14.000000
14,50,-0.000000,1.000000,282.000000
15,50,-0.000000,1.000000,206.500000
16,50,8.865253,0.500000,156.500000
